group_id,group_title,subgroup_id,subgroup_name,transaction_id,transaction_date,description,amount,match_status
INC-009,Salary,92010d4e,45678945678901 Transaction 14000 - PAY SALARY COLES SUPERMARKET,7ee6a1c2-22f1-400e-b21a-8874f2b67408,2025-01-23T13:05:54Z,PAY/SALARY FROM COLES SUPERMARKE COL 00753939,1900.00,matched
EXP-041,Vehicle and Transport,7677fa65,COLES EXPRESS 6942 TOM PRICE,73effbe0-368b-45a5-bf04-85872bdde1a1,2025-01-24T11:38:07Z,COLES EXPRESS 6942 TOM PRICE AU Card xx2328,-139.44,matched
EXP-007,Department Stores,c3cfc27b,KMART 1226 CLAYTON,c1d9b5be-9bc8-4c95-95a4-faae99081cb5,2025-01-17T04:38:32Z,KMART 1226 CLAYTON AU AUS  Card xx3856,-97.64,matched
EXP-007,Department Stores,c3cfc27b,KMART 1226 CLAYTON,57a4228c-2ac1-4ffb-a31e-eb3724df7500,2025-01-18T11:25:26Z,KMART 1226 CLAYTON AU AUS  Card xx2328,-50.14,matched
EXP-054,Other Categorised,3beeeba4,SUPERIOR FOOD GROUP MULGRAVE VIC,016ac12e-c8be-4211-9545-a3ab4af9bc9a,2025-01-17T01:51:36Z,SUPERIOR FOOD GROUP PT MULGRAVE VIC Card xx2328,-6.07,matched
EXP-007,Department Stores,7464dfab,HARRIS SCARFE CHATSWOOD,5845c64c-448c-46eb-8954-c4e0acdc6998,2025-01-16T09:02:47Z,HARRIS SCARFE Chatswood Card xx2328,-63.31,matched
EXP-016,Groceries,2356b3d7,WOOLWORTHS 3251 CHATSWOOD,f53a0ba8-b0fa-46c8-9f24-16154c4bf9ef,2025-01-14T19:51:54Z,WOOLWORTHS 3298 Chatswood AUS Card xx3856,-400.32,matched
EXP-023,Motor Finance,e07aa8e1,TOYOTA FINANCE,bb0596c3-5ab2-40bc-91de-9ca4deeee7d0,2025-01-13T14:36:56Z,PAYMENT BY AUTHORITY TO TOYOTA FINANCE 11111111,-1000.00,matched
EXP-016,Groceries,2356b3d7,WOOLWORTHS 3251 CHATSWOOD,81cd3e1b-ed03-40de-89db-f8817f4d0efc,2025-01-10T19:01:40Z,WOOLWORTHS 3298 Chatswood AUS Card xx2328,-56.74,matched
EXP-016,Groceries,a5d16ee9,WW METRO 11 29 KOKARIBB R CHATSWOOD,392e0d43-55a9-4012-b29e-01b1b7e7275d,2025-01-12T03:51:53Z,WW METRO/11-29 KOKARIBB R Chatswood AU  Card xx3856,-11.86,matched
INC-009,Salary,92010d4e,45678945678901 Transaction 14000 - PAY SALARY COLES SUPERMARKET,db6c39a6-c717-4e6d-b042-a81ea9effc3c,2025-01-09T20:20:45Z,PAY/SALARY FROM COLES SUPERMARKE COL 00753938,1900.00,matched
EXP-018,Medical,a32b6cb3,LONG FINE HOSPITALITY BROADMEADOWS,a3b68b08-98bc-48b5-944f-0af20ce25731,2025-01-09T16:04:54Z,LONG FINE HOSPITALITY BROADMEADOWS Card xx3856,-141.03,matched
EXP-008,Dining Out,5efb60d0,MCDONALDS AIRSIDE MASC,79c3232b-fafd-430e-a11b-f8ad16188f9b,2025-01-07T22:48:15Z,MCDONALDS AIRSIDE MASC Card xx2328,-20.47,matched
EXP-016,Groceries,a5d16ee9,WW METRO 11 29 KOKARIBB R CHATSWOOD,90162ab4-d012-4d58-ba34-80f178fbf9e9,2025-01-04T09:15:52Z,WW METRO/11-29 KOKARIBB R Chatswood AU  Card xx3856,-191.85,matched
EXP-016,Groceries,f11566a5,COLES 0507 GLEN IRIS,f7bae1a2-538e-4240-82fa-49e225d7fd01,2025-01-05T11:41:11Z,COLES 0507 GLEN IRIS AU  Card xx3856,-21.92,matched
EXP-008,Dining Out,8d9b8cf0,MEXI DONNA FUSION CRAIGIEBURN,a1d38c1b-913c-4ba1-86f0-c548cd3814fb,2025-01-04T03:11:18Z,MEXI DONNA FUSION Craigieburn AU AUS  Card xx2328,-6.95,matched
EXP-008,Dining Out,fb014331,UBER EATS SYDNEY,c05b7b24-f6b4-4a2e-93b2-8aa2b2d85fee,2025-01-02T19:33:03Z,UBER* EATS SYDNEY NS AUS  Card xx3856,-20.68,matched
EXP-012,Entertainment,79d01d45,CAULFIELD GLASSHOUSE CAULFIELD VIC,12c37fcb-a29e-4a09-adfb-8829ec5cb95b,2025-01-03T09:36:52Z,CAULFIELD GLASSHOUSE CAULFIELD VI AUS  Card xx2328,-7.24,matched
EXP-016,Groceries,2b03ff4e,WW METRO 8785 CHATSWOOD,9d47b1d0-ef27-41aa-9fd4-7772e1159d39,2024-12-31T23:49:47Z,WW METRO 8785 Chatswood AU AUS  Card xx3856,-7.82,matched
EXP-055,Clothing and Footwear,cb146917,YD 201 MANLY,9dcb7c4a-2e4d-453f-bb6f-41ca4fa94e0d,2024-12-31T10:07:55Z,YD PTY LTD 201 Manly Card xx2328,-165.77,matched
EXP-008,Dining Out,85ea128e,MCDONALDS PAKEN OUTB OFFICER SOUT,fe671e92-3829-492d-8990-c65defdfbd74,2024-12-29T21:36:46Z,MCDONALDS PAKEN OUTB OFFICER SOUT Card xx2328,-14.89,matched
EXP-007,Department Stores,30652179,MYER WARRINGAH BROOKVALE,b3c7e2f3-2daf-4882-a546-1dc27328db49,2024-12-30T17:53:51Z,MYER WARRINGAH BROOKVALE AU Card xx2328,-550.00,matched
EXP-008,Dining Out,5efb60d0,MCDONALDS AIRSIDE MASC,0f05db98-13d4-439a-8eee-24ee70365e3a,2024-12-29T16:07:33Z,MCDONALDS AIRSIDE MASC Card xx2328,-12.44,matched
,,,,b0b3a6ec-cfb8-440a-a095-44b49ad26e4e,2024-12-29T12:20:42Z,Transfer To Credit Card Acc HooliBank App,-4167.71,unmatched
EXP-008,Dining Out,e72656a1,THE COFFEE SHOP POINT COOK,60b13713-f885-42e3-b6a0-eb22a6a18423,2024-12-31T11:10:19Z,The Coffee shop Point Cook AU  Card xx3856,-10.20,matched
EXP-016,Groceries,2356b3d7,WOOLWORTHS 3251 CHATSWOOD,c89f6b74-e67d-47e4-8669-29d6ed02d425,2024-12-30T10:26:50Z,WOOLWORTHS 3298 Chatswood AUS Card xx2328,-657.39,matched
EXP-008,Dining Out,fb014331,UBER EATS SYDNEY,698701e6-53db-4099-b985-0e4daa13fccf,2024-12-30T21:22:31Z,UBER* EATS SYDNEY AU  Card xx3856,-3.06,matched
EXP-008,Dining Out,c161e2f2,MCDONALDS DT 0953 CLAYTON,ec9c1fd2-144d-4788-a383-330adf65d96e,2024-12-30T20:04:19Z,MCDONALDS DT 0953 CLAYTON AUS  Card xx2328,-12.83,matched
EXP-008,Dining Out,fb014331,UBER EATS SYDNEY,25d9c0f3-c319-47b2-b6eb-244d0e6dc647,2024-12-28T18:41:40Z,UBER *EATS Sydney AU AUS  Card xx2328,-24.09,matched
INC-009,Salary,29fa6c9a,45678945678901 Transaction 14000 - DEPOSIT SALARY TRANSPORTSERVICE WAGE SAL,b7e59ada-1b64-4fde-8f39-b9f16de87d3b,2024-12-29T10:37:45Z,DEPOSIT-SALARY TRANSPORTSERVICE Wage/sal 00964447,8000.00,matched
EXP-016,Groceries,01c08ea9,WOOLWORTHS CNR DANDENONG CHATSWOOD,2addd97c-55ea-4391-9c0c-9cbe761b3e96,2024-12-29T13:26:41Z,WOOLWORTHS/CNR DANDENONG Chatswood AU  Card xx3856,-139.44,matched
,,,,31b3769e-7370-4fc2-a000-267c25dbc46d,2024-12-30T00:02:49Z,Transfer To Savings Acc HooliBank app,-4500.00,unmatched
EXP-008,Dining Out,5efb60d0,MCDONALDS AIRSIDE MASC,c5ce9a5e-29e3-4cd1-89b9-a3fde7c5019d,2024-12-28T05:17:58Z,MCDONALDS AIRSIDE MASC Card xx3856,-0.83,matched
EXP-008,Dining Out,fb014331,UBER EATS SYDNEY,13ab66d8-6ba5-47c6-ad09-109cb119acd1,2024-12-28T02:58:46Z,UBER *EATS Sydney AU AUS  Card xx3856,-6.73,matched
EXP-008,Dining Out,69a9de73,MCDONALDS PENINSULA L BAXTER VIC,ae15a847-b590-4c96-abc2-c88dc53bc9c1,2024-12-27T01:54:46Z,MCDONALDS PENINSULA L BAXTER VICAU Card xx2328,-11.91,matched
INC-009,Salary,92010d4e,45678945678901 Transaction 14000 - PAY SALARY COLES SUPERMARKET,9662aa28-e24b-461f-8f40-eb09bbd9044a,2024-12-26T01:17:49Z,PAY/SALARY FROM COLES SUPERMARKE COL 00753937,1900.00,matched
EXP-008,Dining Out,a5890143,LITTLETOMMYTUCKER BENTLEIGH,5c9b417a-d1b6-43fe-a19d-03ef0a63abfa,2024-12-22T23:34:58Z,LIV*LITTLETOMMYTUCKER BENTLEIGH AU  Card xx2328,-7.19,matched
EXP-016,Groceries,2b03ff4e,WW METRO 8785 CHATSWOOD,7790fea0-05c3-4c87-8858-98251ef20222,2024-12-23T16:11:07Z,WW METRO 8785 Chatswood AU AUS  Card xx3856,-7.89,matched
EXP-008,Dining Out,5efb60d0,MCDONALDS AIRSIDE MASC,bb5260cd-ef74-4b27-82a3-028eee05c68e,2024-12-24T04:46:07Z,MCDONALDS AIRSIDE MASC Card xx3856,-10.85,matched
EXP-008,Dining Out,58a865b4,BIG ALS KEBABS AND GR ESSENDON FIEL,536800dd-ef3b-4aed-b06d-ea8b837f969a,2024-12-23T01:26:05Z,BIG ALS KEBABS AND GR ESSENDON FIEL AU  Card xx2328,-10.15,matched
EXP-007,Department Stores,c3cfc27b,KMART 1226 CLAYTON,746c67e2-d52f-4cf8-8f81-5e25fddef8d9,2024-12-21T17:47:09Z,KMART 1226 CLAYTON AU AUS  Card xx3856,-46.02,matched
EXP-031,Retail,a3147c50,IKEA RHODES RHOD,157ca282-8a7c-43d9-95c8-c9ebddb9c056,2024-12-20T15:17:16Z,IKEA RHODES RHOD Card xx3856,-150.00,matched
EXP-016,Groceries,2356b3d7,WOOLWORTHS 3251 CHATSWOOD,591890cd-ba5e-4821-bf90-070855186fb7,2024-12-19T15:04:20Z,WOOLWORTHS 3298 Chatswood AUS Card xx2328,-52.31,matched
EXP-008,Dining Out,5efb60d0,MCDONALDS AIRSIDE MASC,99c61901-120c-478d-8534-dc55c94db38c,2024-12-21T10:11:03Z,MCDONALDS AIRSIDE MASC Card xx3856,-18.90,matched
EXP-016,Groceries,c6894691,WOOLWORTHS 3806 CLAYTON,6ed35e96-d1aa-43b8-827e-b03b528db7ab,2024-12-20T12:16:05Z,WOOLWORTHS 3806 CLAYTON AU AUS  Card xx2328,-295.39,matched
EXP-051,Alcohol and Tobacco,584379bd,BWS 730 CENTER ROAD BENTLEIGH EST,2bf95aae-7246-46a7-82e1-895077aa4d93,2024-12-17T09:50:15Z,BWS/730 CENTRE ROAD BENTLEIGH EST AU  Card xx3856,-30.51,matched
